,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
241,canada,2008,0,1,0,0,8,,Eric Staal,23,H,8,4,3,7,6,5,1,0,0,0.500,0.375,0.875
242,canada,2008,0,1,0,0,9,,Chris Kunitz,28,H,9,2,5,7,4,2,0,0,0,0.222,0.556,0.778
243,canada,2008,0,1,0,0,10,,Shane Doan,31,H,9,2,4,6,6,2,0,1,0,0.222,0.444,0.667
244,canada,2008,0,1,0,0,11,,Jamal Mayers,33,H,9,2,3,5,2,6,0,1,0,0.222,0.333,0.556
245,canada,2008,0,1,0,0,12,,Jonathan Toews,20,H,9,2,3,5,8,0,1,0,1,0.222,0.333,0.556
246,canada,2008,0,1,0,0,13,,Patrick Sharp,26,H,9,3,0,3,4,3,0,1,2,0.333,0.000,0.333
247,canada,2008,0,1,0,0,14,,Jason Spezza,24,H,9,1,2,3,0,5,0,0,0,0.111,0.222,0.333
248,canada,2008,0,1,0,0,15,,Dan Hamhuis,25,P,9,1,1,2,8,6,0,0,0,0.111,0.111,0.222
249,canada,2008,0,1,0,0,16,,Jason Chimera,29,H,9,0,2,2,6,3,0,0,0,0.000,0.222,0.222
250,canada,2008,0,1,0,0,17,,Duncan Keith,24,P,9,0,2,2,6,9,0,0,0,0.000,0.222,0.222
251,canada,2008,0,1,0,0,18,,Ed Jovanovski,31,P,9,0,1,1,4,3,0,0,0,0.000,0.111,0.111
252,canada,2008,0,1,0,0,19,,Pascal Leclaire,25,M,4,0,1,1,0,,0,0,0,0.000,0.250,0.250
253,canada,2008,0,1,0,0,20,,Jay Bouwmeester,24,P,9,0,0,0,4,-1,0,0,0,0.000,0.000,0.000
254,canada,2008,0,1,0,0,21,,Steve Staios,34,H,9,0,0,0,2,9,0,0,0,0.000,0.000,0.000
255,canada,2008,0,1,0,0,22,,Cam Ward,24,M,5,0,0,0,0,,0,0,0,0.000,0.000,0.000
256,canada,2008,0,1,0,0,23,,Sam Gagner,18,H,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
257,canada,2007,1,0,0,0,1,,Matthew Lombardi,25,H,9,6,6,12,4,4,1,0,0,0.667,0.667,1.333
258,canada,2007,1,0,0,0,2,,Rick Nash,22,H,9,6,5,11,4,8,5,0,1,0.667,0.556,1.222
259,canada,2007,1,0,0,0,3,,Shane Doan,30,H,9,5,5,10,8,7,2,1,2,0.556,0.556,1.111
260,canada,2007,1,0,0,0,4,,Eric Staal,22,H,9,5,5,10,6,6,1,0,1,0.556,0.556,1.111
261,canada,2007,1,0,0,0,5,,Dion Phaneuf,22,P,7,0,8,8,2,1,0,0,0,0.000,1.143,1.143
262,canada,2007,1,0,0,0,6,,Mike Cammalleri,24,H,9,4,3,7,6,1,2,0,1,0.444,0.333,0.778
263,canada,2007,1,0,0,0,7,,Jonathan Toews,18,H,9,2,5,7,6,0,0,0,1,0.222,0.556,0.778
264,canada,2007,1,0,0,0,8,,Cory Murphy,29,P,9,1,6,7,8,7,1,0,0,0.111,0.667,0.778
265,canada,2007,1,0,0,0,9,,Jason Chimera,27,H,9,1,5,6,8,4,0,0,0,0.111,0.556,0.667
266,canada,2007,1,0,0,0,10,,Jamal Mayers,32,H,9,4,1,5,8,3,0,0,2,0.444,0.111,0.556
267,canada,2007,1,0,0,0,11,,Jay McClement,24,H,9,2,2,4,4,2,0,0,0,0.222,0.222,0.444
268,canada,2007,1,0,0,0,12,,Eric Brewer,28,P,9,1,3,4,6,4,1,0,0,0.111,0.333,0.444
269,canada,2007,1,0,0,0,13,,Dan Hamhuis,24,P,9,1,2,3,2,4,0,0,0,0.111,0.222,0.333
